Account Number,Product Name,Account Limit,Account Status,Branch name,Digital Products,CIF,Relationship,NIC,Currency
4454676516,Debit Card - Gold Visa,1036201,Non Active,Upcott,B- App,4178890941,Joint,41788909412642V,LKR
4454676517,Credit Card - Gold Visa,1036301,Active,Wilgamuwa,I- Hus,1547312154,Individual,15473121542659V,LKR
4454676518,Credit Card - Gold Visa,1036401,Active,Addalachchenai,B- App,2509623250,Individual,25096232502676V,LKR
4454676519,Credit Card - Gold Visa,1036501,Active,Alankerny,B- App,4227034342,Individual,42270343422693V,LKR
4454676520,Credit Card - Gold Visa,1036601,Active,Alankerny,B- App,7039145470,Individual,70391454702710V,LKR
4454676521,Credit Card - Gold Visa,1036701,Active,Araiyampathy,B- App,5483756554,Individual,54837565542727V,LKR
4454676522,Credit Card - Gold Visa,1036801,Active,Batticaloa Town,B- App,5245367652,Joint,52453676522744V,LKR
4454676523,Debit Card - Gold Visa,1036901,Non Active,Independent Square,B- App,7751378775,Joint,77513787752761V,LKR
4454676524,Debit Card - Gold Visa,1037001,Non Active,Upcott,B- App,8254889882,Joint,82548898822778V,LKR
4454676525,Credit Card - Gold Visa,1037101,Active,Wilgamuwa,B- App,948090948,Individual,9480909482795V,LKR
4454676526,Credit Card - Gold Visa,1037201,Active,Addalachchenai,B- App,1758712175,Individual,17587121752812V,LKR
4454676527,Credit Card - Gold Visa,1037301,Active,Alankerny,B- App,2384423238,Individual,23844232382829V,LKR
4454676528,Credit Card - Gold Visa,1037401,Active,Wilgamuwa,B- App,3852934385,Individual,38529343852846V,LKR
4454676529,Credit Card - Gold Visa,1037501,Active,Addalachchenai,C- App,3408745434,Individual,34087454342863V,LKR
4454676530,Credit Card - Gold Visa,1037601,Active,Alankerny,B- App,5807356580,Individual,58073565802880V,LKR
4454676531,Credit Card - Gold Visa,1037701,Active,Araiyampathy,B- App,6576967657,Individual,65769676572897V,LKR
4454676532,Credit Card - Gold Visa,1037801,Active,Batticaloa Town,D- Dep,8660178786,Joint,86601787862914V,LKR
4454676533,Debit Card - Gold Visa,1037901,Non Active,Independent Square,B- App,9226289892,Joint,92262898922931V,LKR
4454676534,Debit Card - Gold Visa,1038001,Non Active,Upcott,B- App,9757090975,Joint,97570909752948V,LKR
4454676535,Credit Card - Gold Visa,1038101,Active,Wilgamuwa,I- Hus,2134712134,Individual,21347121342965V,LKR
4454676536,Credit Card - Gold Visa,1038201,Active,Addalachchenai,B- App,2823223282,Individual,28232232822982V,LKR
4454676537,Credit Card - Gold Visa,1038301,Active,Alankerny,B- App,3706234370,Individual,37062343702999V,LKR
4454676538,Credit Card - Gold Visa,1038401,Active,Alankerny,B- App,1936545419,Individual,19365454193016V,LKR
4454676539,Credit Card - Gold Visa,1038501,Active,Araiyampathy,B- App,5170756517,Individual,51707565173033V,LKR
4454676540,Credit Card - Gold Visa,1038601,Active,Batticaloa Town,B- App,6877467687,Joint,68774676873050V,LKR
4454676541,Debit Card - Gold Visa,1038701,Non Active,Independent Square,B- App,8792578792,Joint,87925787923067V,LKR
4454676542,Debit Card - Gold Visa,1038801,Non Active,Upcott,B- App,9867889867,Joint,98678898673084V,LKR
4454676543,Credit Card - Gold Visa,1038901,Active,Wilgamuwa,B- App,2910390929,Individual,29103909293101V,LKR
4454676544,Credit Card - Gold Visa,1039001,Active,Addalachchenai,B- App,1738112173,Individual,17381121733118V,LKR
4454676545,Credit Card - Gold Visa,1039101,Active,Alankerny,B- App,2923123292,Individual,29231232923135V,LKR
4454676546,Credit Card - Gold Visa,1039201,Active,Wilgamuwa,B- App,6699634366,Individual,66996343663152V,LKR
4454676547,Credit Card - Gold Visa,1039301,Active,Addalachchenai,C- App,4537245445,Individual,45372454453169V,LKR
4454676548,Credit Card - Gold Visa,1039401,Active,Alankerny,B- App,7128356571,Individual,71283565713186V,LKR
4454676549,Credit Card - Gold Visa,1039501,Active,Araiyampathy,B- App,7933967679,Individual,79339676793203V,LKR
4454676550,Credit Card - Gold Visa,1039601,Active,Batticaloa Town,D- Dep,7257978725,Joint,72579787253220V,LKR
4454676551,Debit Card - Gold Visa,1039701,Non Active,Independent Square,B- App,8454289845,Joint,84542898453237V,LKR
4454676552,Debit Card - Gold Visa,1039801,Non Active,Upcott,B- App,9773390977,Joint,97733909773254V,LKR
4454676553,Credit Card - Gold Visa,1039901,Active,Wilgamuwa,I- Hus,6896612168,Individual,68966121683271V,LKR
4454676554,Credit Card - Gold Visa,1040001,Active,Addalachchenai,B- App,2990823299,Individual,29908232993288V,LKR
4454676555,Credit Card - Gold Visa,1040101,Active,Alankerny,B- App,8604834386,Individual,86048343863305V,LKR
4454676556,Credit Card - Gold Visa,1040201,Active,Alankerny,B- App,3024945430,Individual,30249454303322V,LKR
4454676557,Credit Card - Gold Visa,1040301,Active,Araiyampathy,B- App,5318756531,Individual,53187565313339V,LKR
4454676558,Credit Card - Gold Visa,1040401,Active,Batticaloa Town,B- App,7215967672,Joint,72159676723356V,LKR
4454676559,Debit Card - Gold Visa,1040501,Non Active,Independent Square,B- App,7338478773,Joint,73384787733373V,LKR
4454676560,Debit Card - Gold Visa,1040601,Non Active,Upcott,B- App,5166489851,Joint,51664898513390V,LKR
4454676561,Credit Card - Gold Visa,1040701,Active,Wilgamuwa,B- App,959790959,Individual,9597909593407V,LKR
4454676562,Credit Card - Gold Visa,1040801,Active,Addalachchenai,B- App,1122212112,Individual,11222121123424V,LKR
4454676563,Credit Card - Gold Visa,1040901,Active,Alankerny,B- App,4167723241,Individual,41677232413441V,LKR
4454676564,Credit Card - Gold Visa,1041001,Active,Wilgamuwa,B- App,8098134380,Individual,80981343803458V,LKR
4454676565,Credit Card - Gold Visa,1041101,Active,Addalachchenai,C- App,4798245479,Individual,47982454793475V,LKR
4454676566,Credit Card - Gold Visa,1041201,Active,Alankerny,B- App,5130256513,Individual,51302565133492V,LKR
4454676567,Credit Card - Gold Visa,1041301,Active,Araiyampathy,B- App,6844967684,Individual,68449676843509V,LKR
4454676568,Credit Card - Gold Visa,1041401,Active,Batticaloa Town,D- Dep,8799278787,Joint,87992787873526V,LKR
4454676569,Debit Card - Gold Visa,1041501,Non Active,Independent Square,B- App,8946989889,Joint,89469898893543V,LKR
4454676570,Debit Card - Gold Visa,1041601,Non Active,Upcott,B- App,6187767618,Joint,61877676183560V,LKR
4454676571,Credit Card - Gold Visa,1041701,Active,Wilgamuwa,I- Hus,5549278755,Individual,55492787553577V,LKR
4454676572,Credit Card - Gold Visa,1041801,Active,Addalachchenai,B- App,4909489849,Individual,49094898493594V,LKR
4454676573,Credit Card - Gold Visa,1041901,Active,Alankerny,B- App,1896190918,Individual,18961909183611V,LKR
4454676574,Credit Card - Gold Visa,1042001,Active,Alankerny,B- App,1284212128,Individual,12842121283628V,LKR
4454676575,Credit Card - Gold Visa,1042101,Active,Araiyampathy,B- App,2187023218,Individual,21870232183645V,LKR
4454676576,Credit Card - Gold Visa,1042201,Active,Batticaloa Town,B- App,5963834359,Joint,59638343593662V,LKR
4454676577,Debit Card - Gold Visa,1042301,Non Active,Independent Square,B- App,2075945420,Joint,20759454203679V,LKR
4454676578,Debit Card - Gold Visa,1042401,Non Active,Upcott,B- App,7489656574,Joint,74896565743696V,LKR
4454676579,Credit Card - Gold Visa,1042501,Active,Wilgamuwa,B- App,3569157089,Individual,35691570893713V,LKR
4454676580,Credit Card - Gold Visa,1042601,Active,Addalachchenai,B- App,1623368170,Individual,16233681703730V,LKR
4454676581,Credit Card - Gold Visa,1042701,Active,Alankerny,B- App,8985289852,Individual,89852898523747V,LKR
4454676582,Credit Card - Gold Visa,1042801,Active,Wilgamuwa,B- App,9896290989,Individual,98962909893764V,LKR
4454676583,Credit Card - Gold Visa,1042901,Active,Addalachchenai,C- App,2911934376,Individual,29119343763781V,LKR
4454676584,Credit Card - Gold Visa,1043001,Active,Alankerny,B- App,3303845500,Individual,33038455003798V,LKR
4454676585,Credit Card - Gold Visa,1043101,Active,Araiyampathy,B- App,4384134384,Individual,43841343843815V,LKR
4454676586,Credit Card - Gold Visa,1043201,Active,Batticaloa Town,D- Dep,4971845497,Joint,49718454973832V,LKR
4454676587,Debit Card - Gold Visa,1043301,Non Active,Independent Square,B- App,3254756532,Joint,32547565323849V,LKR
4454676588,Debit Card - Gold Visa,1043401,Non Active,Upcott,B- App,9352067693,Joint,93520676933866V,LKR
4454676589,Credit Card - Gold Visa,1043501,Active,Wilgamuwa,I- Hus,8124078781,Individual,81240787813883V,LKR
4454676590,Credit Card - Gold Visa,1043601,Active,Addalachchenai,B- App,4518689845,Individual,45186898453900V,LKR
4454676591,Credit Card - Gold Visa,1043701,Active,Alankerny,B- App,9520790952,Individual,95207909523917V,LKR
4454676592,Credit Card - Gold Visa,1043801,Active,Alankerny,B- App,1208312120,Individual,12083121203934V,LKR
4454676593,Credit Card - Gold Visa,1043901,Active,Araiyampathy,B- App,3123223231,Individual,31232232313951V,LKR
4454676594,Credit Card - Gold Visa,1044001,Active,Batticaloa Town,B- App,3758634375,Joint,37586343753968V,LKR
4454676595,Debit Card - Gold Visa,1044101,Non Active,Independent Square,B- App,7815145478,Joint,78151454783985V,LKR
4454676596,Debit Card - Gold Visa,1044201,Non Active,Upcott,B- App,5982056598,Joint,59820565984002V,LKR
4454676597,Credit Card - Gold Visa,1044301,Active,Wilgamuwa,B- App,9390367693,Individual,93903676934019V,LKR
4454676598,Credit Card - Gold Visa,1044401,Active,Addalachchenai,B- App,7872478724,Individual,78724787244036V,LKR
4454676599,Credit Card - Gold Visa,1044501,Active,Alankerny,B- App,8982589825,Individual,89825898254053V,LKR
4454676600,Credit Card - Gold Visa,1044601,Active,Wilgamuwa,B- App,8580190985,Individual,85801909854070V,LKR
4454676601,Credit Card - Gold Visa,1044701,Active,Addalachchenai,C- App,397867038,Individual,3978670384087V,LKR
4454676602,Credit Card - Gold Visa,1044801,Active,Alankerny,B- App,1832478114,Individual,18324781144104V,LKR
4454676603,Credit Card - Gold Visa,1044901,Active,Araiyampathy,B- App,5829134358,Individual,58291343584121V,LKR
4454676604,Credit Card - Gold Visa,1045001,Active,Batticaloa Town,D- Dep,4958645449,Joint,49586454494138V,LKR
4454676605,Debit Card - Gold Visa,1045101,Non Active,Independent Square,B- App,5187756518,Joint,51877565184155V,LKR
4454676606,Debit Card - Gold Visa,1045201,Non Active,Upcott,B- App,5549267655,Joint,55492676554172V,LKR
4454676607,Credit Card - Gold Visa,1045301,Active,Wilgamuwa,I- Hus,4909478749,Individual,49094787494189V,LKR
4454676608,Credit Card - Gold Visa,1045401,Active,Addalachchenai,B- App,1896189818,Individual,18961898184206V,LKR
4454676609,Credit Card - Gold Visa,1045501,Active,Alankerny,B- App,9284290928,Individual,92842909284223V,LKR
4454676610,Credit Card - Gold Visa,1045601,Active,Alankerny,B- App,1187012118,Individual,11870121184240V,LKR
4454676611,Credit Card - Gold Visa,1045701,Active,Araiyampathy,B- App,5963823259,Individual,59638232594257V,LKR
4454676612,Credit Card - Gold Visa,1045801,Active,Batticaloa Town,B- App,2075934320,Joint,20759343204274V,LKR
4454676613,Debit Card - Gold Visa,1045901,Non Active,Independent Square,B- App,7489645474,Joint,74896454744291V,LKR
4454676614,Debit Card - Gold Visa,1046001,Non Active,Upcott,B- App,3569145989,Joint,35691459894308V,LKR
4454676615,Credit Card - Gold Visa,1046101,Active,Wilgamuwa,B- App,1623357070,Individual,16233570704325V,LKR
4454676616,Credit Card - Gold Visa,1046201,Active,Addalachchenai,B- App,7875278752,Individual,78752787524342V,LKR
4454676617,Credit Card - Gold Visa,1046301,Active,Alankerny,B- App,8896289889,Individual,88962898894359V,LKR
4454676618,Credit Card - Gold Visa,1046401,Active,Wilgamuwa,B- App,928190928,Individual,9281909284376V,LKR
4454676619,Credit Card - Gold Visa,1046501,Active,Addalachchenai,C- App,1520012152,Individual,15200121524393V,LKR
4454676620,Credit Card - Gold Visa,1046601,Active,Alankerny,B- App,3284123284,Individual,32841232844410V,LKR
4454676621,Credit Card - Gold Visa,1046701,Active,Araiyampathy,B- App,3971834397,Individual,39718343974427V,LKR
4454676622,Credit Card - Gold Visa,1046801,Active,Batticaloa Town,D- Dep,3254745432,Joint,32547454324444V,LKR
4454676623,Debit Card - Gold Visa,1046901,Non Active,Independent Square,B- App,9352056593,Joint,93520565934461V,LKR
4454676624,Debit Card - Gold Visa,1047001,Non Active,Upcott,B- App,8124067681,Joint,81240676814478V,LKR
4454676625,Credit Card - Gold Visa,1047101,Active,Wilgamuwa,I- Hus,4518678745,Individual,45186787454495V,LKR
4454676626,Credit Card - Gold Visa,1047201,Active,Addalachchenai,B- App,8520789852,Individual,85207898524512V,LKR
4454676627,Credit Card - Gold Visa,1047301,Active,Alankerny,B- App,9208390920,Individual,92083909204529V,LKR
4454676628,Credit Card - Gold Visa,1047401,Active,Alankerny,B- App,2394034419,Individual,23940344194546V,LKR
4454676629,Credit Card - Gold Visa,1047501,Active,Araiyampathy,B- App,2029445563,Individual,20294455634563V,LKR
4454676630,Credit Card - Gold Visa,1047601,Active,Batticaloa Town,B- App,7815134378,Joint,78151343784580V,LKR
4454676631,Debit Card - Gold Visa,1047701,Non Active,Independent Square,B- App,4982045498,Joint,49820454984597V,LKR
4454676632,Debit Card - Gold Visa,1047801,Non Active,Upcott,B- App,9390356593,Joint,93903565934614V,LKR
4454676633,Credit Card - Gold Visa,1047901,Active,Wilgamuwa,B- App,8859167688,Individual,88591676884631V,LKR
4454676634,Credit Card - Gold Visa,1048001,Active,Addalachchenai,B- App,7624878762,Individual,76248787624648V,LKR
4454676635,Credit Card - Gold Visa,1048101,Active,Alankerny,B- App,8404389840,Individual,84043898404665V,LKR
4454676636,Credit Card - Gold Visa,1048201,Active,Wilgamuwa,B- App,9622490962,Individual,96224909624682V,LKR
4454676637,Credit Card - Gold Visa,1048301,Active,Addalachchenai,C- App,1155512115,Individual,11555121154699V,LKR
4454676638,Credit Card - Gold Visa,1048401,Active,Alankerny,B- App,7346523273,Individual,73465232734716V,LKR
4454676639,Credit Card - Gold Visa,1048501,Active,Araiyampathy,B- App,4221534342,Individual,42215343424733V,LKR
4454676640,Credit Card - Gold Visa,1048601,Active,Batticaloa Town,D- Dep,4639845463,Joint,46398454634750V,LKR
4454676641,Debit Card - Gold Visa,1048701,Non Active,Independent Square,B- App,7229456572,Joint,72294565724767V,LKR
4454676642,Debit Card - Gold Visa,1048801,Non Active,Upcott,B- App,8491767684,Joint,84917676844784V,LKR
4454676643,Credit Card - Gold Visa,1048901,Active,Wilgamuwa,I- Hus,8609078786,Individual,86090787864801V,LKR
4454676644,Credit Card - Gold Visa,1049001,Active,Addalachchenai,B- App,2027789820,Individual,20277898204818V,LKR
4454676645,Credit Card - Gold Visa,1049101,Active,Alankerny,B- App,4178890941,Individual,41788909414835V,LKR
4454676646,Credit Card - Gold Visa,1049201,Active,Alankerny,B- App,1547312154,Individual,15473121544852V,LKR
4454676647,Credit Card - Gold Visa,1049301,Active,Araiyampathy,B- App,2509623250,Individual,25096232504869V,LKR
4454676648,Credit Card - Gold Visa,1049401,Active,Batticaloa Town,B- App,4227034342,Joint,42270343424886V,LKR
4454676649,Debit Card - Gold Visa,1049501,Non Active,Independent Square,B- App,7039145470,Joint,70391454704903V,LKR
4454676650,Debit Card - Gold Visa,1049601,Non Active,Upcott,B- App,5483756554,Joint,54837565544920V,LKR
4454676651,Credit Card - Gold Visa,1049701,Active,Wilgamuwa,B- App,5245367652,Individual,52453676524937V,LKR
4454676652,Credit Card - Gold Visa,1049801,Active,Addalachchenai,B- App,7751378775,Individual,77513787754954V,LKR
4454676653,Credit Card - Gold Visa,1049901,Active,Alankerny,B- App,8254889882,Individual,82548898824971V,LKR
4454676654,Credit Card - Gold Visa,1050001,Active,Wilgamuwa,B- App,948090948,Individual,9480909484988V,LKR
4454676655,Credit Card - Gold Visa,1050101,Active,Addalachchenai,C- App,1758712175,Individual,17587121755005V,LKR
4454676656,Credit Card - Gold Visa,1050201,Active,Alankerny,B- App,2384423238,Individual,23844232385022V,LKR
4454676657,Credit Card - Gold Visa,1050301,Active,Araiyampathy,B- App,3852934385,Individual,38529343855039V,LKR
4454676658,Credit Card - Gold Visa,1050401,Active,Batticaloa Town,D- Dep,3408745434,Joint,34087454345056V,LKR
4454676659,Debit Card - Gold Visa,1050501,Non Active,Independent Square,B- App,5807356580,Joint,58073565805073V,LKR
4454676660,Debit Card - Gold Visa,1050601,Non Active,Upcott,B- App,6576967657,Joint,65769676575090V,LKR
4454676661,Credit Card - Gold Visa,1050701,Active,Wilgamuwa,I- Hus,8660178786,Individual,86601787865107V,LKR
4454676662,Credit Card - Gold Visa,1050801,Active,Addalachchenai,B- App,9226289892,Individual,92262898925124V,LKR
4454676663,Credit Card - Gold Visa,1050901,Active,Alankerny,B- App,9757090975,Individual,97570909755141V,LKR
4454676664,Credit Card - Gold Visa,1051001,Active,Alankerny,B- App,2134712134,Individual,21347121345158V,LKR
4454676665,Credit Card - Gold Visa,1051101,Active,Araiyampathy,B- App,2823223282,Individual,28232232825175V,LKR
4454676666,Credit Card - Gold Visa,1051201,Active,Batticaloa Town,B- App,3706234370,Joint,37062343705192V,LKR
4454676667,Debit Card - Gold Visa,1051301,Non Active,Independent Square,B- App,1936545419,Joint,19365454195209V,LKR
4454676668,Debit Card - Gold Visa,1051401,Non Active,Upcott,B- App,5170756517,Joint,51707565175226V,LKR
4454676669,Credit Card - Gold Visa,1051501,Active,Wilgamuwa,B- App,6877467687,Individual,68774676875243V,LKR
4454676670,Credit Card - Gold Visa,1051601,Active,Addalachchenai,B- App,8792578792,Individual,87925787925260V,LKR
4454676671,Credit Card - Gold Visa,1051701,Active,Alankerny,B- App,9867889867,Individual,98678898675277V,LKR
4454676672,Credit Card - Gold Visa,1051801,Active,Wilgamuwa,B- App,2910390929,Individual,29103909295294V,LKR
4454676673,Credit Card - Gold Visa,1051901,Active,Addalachchenai,C- App,1738112173,Individual,17381121735311V,LKR
4454676674,Credit Card - Gold Visa,1052001,Active,Alankerny,B- App,2923123292,Individual,29231232925328V,LKR
4454676675,Credit Card - Gold Visa,1052101,Active,Araiyampathy,B- App,6699634366,Individual,66996343665345V,LKR
4454676676,Credit Card - Gold Visa,1052201,Active,Batticaloa Town,D- Dep,4537245445,Joint,45372454455362V,LKR
4454676677,Debit Card - Gold Visa,1052301,Non Active,Independent Square,B- App,7128356571,Joint,71283565715379V,LKR
4454676678,Debit Card - Gold Visa,1052401,Non Active,Upcott,B- App,7933967679,Joint,79339676795396V,LKR
4454676679,Credit Card - Gold Visa,1052501,Active,Wilgamuwa,I- Hus,7257978725,Individual,72579787255413V,LKR
