puka1,puka2,full_name,preferred_name,new_nic,old_nic,cif,t_pin,marital_status,spouse_name,passport,driving_license,business_name,business_reg_number,business_registered_date,mobile_number,staff_pf,alternative_number,email,address1,address2,address3,town,district,postal_code,province,alternate_address1,alternate_address2,alternate_address3,alternate_town,alternate_district,alternate_postal_code,preferred_language,customer_since,citizenship,profession,employer,dob,branch,relationship_manager,customer_status,customer_type,vip_flag,group_code
MR,M,,KLRUKSHAN AS,1808182840,,50010,2232,N,Mrs. KLRUKSHAN AS,,KLK2232232,KLRUKSHAN AS-294,22322943V23292,,779094690,32232232,726257010,KKK232@SCICOM.COM.MY,KKKN M NIRUKSHAN,KL238/51 SAMAGI MAWATHA,KKKARA,POLGASOWITA,PADUKKA,,Central,232S NIRUKSHAN,KKK8/51 SAMAGI MAWATHA,KKKARA,NELUWA.,PADUKKA,2232232222,Sinhala,190310,0,BUSINESS,SELF,2004012,37,ABAAR TA TWP,A,P,N,K23
MR,M,,LMETH HMYGSH,1908182841,,50011,3343,S,Mrs. LMETH HMYGSH,,LML3343343,LMETH HMYGSH-294,33432943W34392,,779094691,43343343,726257011,LLL343@SCICOM.COM.MY,LLLS M JAYANETH,LM34ARA GEDARA,LLLAWELA,MAHAWELA,PADUKKA,,Eastern,343G S H JAYANETH,LLLARA GEDARA,LLLAWELA,POLGASOWITA,PADUKKA,3343343333,Sinhala,170216,0,JUKY MACHINE OPERATER,SELF,2010179,640,BCE TWP WGVK,A,P,N,L34
MR,M,,MNNAJEEFER K,2008182842,,50012,4454,M,Mrs. MNNAJEEFER K,,MNM4454454,MNNAJEEFER K-310,44543103V45463,,779094692,54454454,726257012,MMM454@SCICOM.COM.MY,MMMM M EEFER,MN4535,MMMMBEKANI 01,CHAWALAKADAI,PADUKKA,,Northern,454EEFER,MMM35,MMMMBEKANI 01,MAHAWELA,PADUKKA,4454454444,Sinhala,180816,94,HEALTH MANAGEMENT ASSISTANT,PARADISE GARMENT,1991185,510,CDDWGVKA G C,A,P,N,M45
MR,M,,NOSEMIN MS,2108182843,,50013,5565,M,Mrs. NOSEMIN MS,,NON5565565,NOSEMIN MS-369,55653690V56593,,779094693,65565565,726257013,NNN565@SCICOM.COM.MY,NNNM M EMIN,NO56ROAD,NNNMAVADY-02,ODDAMAVADY,PADUKKA,,Southern,565EMIN,NNNROAD,NNNMAVADY-02,CHAWALAKADAI,PADUKKA,5565565555,Sinhala,150420,94,DEPAHAN TYRE HOUSE,DIRECTOR- HEALTH SERVICES,1970358,626,DEA G C HGIK,A,P,Y,N56
MR,M,,ABRIYA KKDLS,2208182844,,50014,6676,M,Mrs. ABRIYA KKDLS,,ABA6676676,ABRIYA KKDLS-457,66764578V67634,,779094694,76676676,726257014,AAA676@SCICOM.COM.MY,AAAM M WEERASOORIYA,AB6743923,AAA4,GIRITALE,PADUKKA,,Western,676L S WEERASOORIYA,AAA43923,AAA4,ODDAMAVADY,PADUKKA,6676676666,Sinhala,191118,94,DIRECTOR.,SELF,1977102,601,EFNHGIKHAS I,A,P,N,A67
MR,M,,BCERATH KHJT,2308182845,,50015,7787,S,Mrs. BCERATH KHJT,,BCB7787787,BCERATH KHJT-337,77873379V78773,,779094695,87787787,726257015,BBB787@SCICOM.COM.MY,BBBS M HERATH,BC78 RAJA MAWATHA,BBBELIGAMA,SEWANAGALA,PADUKKA,,Central,787T HERATH,BBB RAJA MAWATHA,BBBELIGAMA,GIRITALE,PADUKKA,7787787777,Sinhala,170120,94,TEACHER,LEARN IT COMPUTER COMPANY (PVT)LTD,1999126,823,FGIAS IKANNA,A,P,Y,B78
MR,M,,CDMANJU WGN,2408182846,,50016,8898,M,Mrs. CDMANJU WGN,,CDC8898898,CDMANJU WGN-389,88983890V89853,,779094696,98898898,726257016,CCC898@SCICOM.COM.MY,CCCM M KUMARA,CD89,CCCMALKANDURA,SIRIPURA,PADUKKA,,Eastern,898M KUMARA,898M KUMARA,CCCMALKANDURA,SEWANAGALA,PADUKKA,8898898888,Sinhala,150703,94,TEACHER,OVERSEAS INTERNATIONAL SCHOOL,1980105,2,GHSANNAHE MC,A,P,N,C89
     MS,F,,DESIFAYA MFF,2508182847,,50017,9909,M,Mr. DESIFAYA MFF,,DED9909909,DESIFAYA MFF-346,99093468V90923,,779094697,9909909,726257017,DDD909@SCICOM.COM.MY,DDDM F SIFAYA,DE908 VIVEKANANADA HILL,DDDMBO 13,SIRIPURA,PADUKKA,,Northern,909SIFAYA,DDD8 VIVEKANANADA HILL,DDDMBO 13,SIRIPURA,PADUKKA,9909909989,Sinhala,10150,0,CASHIER,OVERSEAS INTERNATIONAL SCHOOL,1975022,573,HI E MC NLAP,A,P,Y,D90
MS,F,,EFOHAMMED HN,2608182848,,50018,1121,,Mr. EFOHAMMED HN,,EFE1121121,EFOHAMMED HN-234,1.12E+13,,779094698,21121121,726257018,EEE121@SCICOM.COM.MY,EEE  OHAMMED,EF12EELAWALA RD,EEEENIYA,SIRIPURA,PADUKKA,,Southern,121OHAMMED,EEEEELAWALA RD,EEEENIYA,SIRIPURA,PADUKKA,1121121111,Sinhala,131006,0,ABLE SEAMAN,GRAND ORIENT HOTEL,1997321,2,IJANLAPAN AS,A,P,N,E12
MS,F,,FGSABEEB MI,2708182849,,50019,2232,,Mr. FGSABEEB MI,,FGF2232232,FGSABEEB MI-346,22323468W23223,,779094699,32232232,726257019,FFF232@SCICOM.COM.MY,FFF  ABEEB,FG23MANIKKAMPATTIYA,FFFRUWELA,SIRIPURA,PADUKKA,,Western,232ABEEB,FFFMANIKKAMPATTIYA,FFFRUWELA,MARASSANA,PADUKKA,2232232222,Sinhala,310707,0,CHEFT,SRI LANKA NAVY,2005181,502,JKSN ASMYGSH,A,P,N,F23
MR,M,,GH T NILAVAN,2808182850,,50020,3343,S,Mrs. GH T NILAVAN,,GHG3343343,GH T NILAVAN- 19,3343 19993435 ,,779094700,43343343,726257020,GGG343@SCICOM.COM.MY,GGGS M ILAVAN,GH3443984,GGGNCHI,SIVAPURAM,POONAKARY,,Central,343ILAVAN,GGG43984,GGGNCHI,MARASSANA,POONAKARY,3343343333,Sinhala,41109,0,CHEFT,HOTEL HILTON,1999278,44,ABAAR TA TWP,A,P,N,G34
MASTER,M,,HIEKARA WMCD,2908182851,,50021,4454,S,Mrs. HIEKARA WMCD,,HIH4454454,HIEKARA WMCD-346,44543468U45423,,779094701,54454454,726257021,HHH454@SCICOM.COM.MY,HHHS M WEERASEKARA,HI458/B,HHHDAGALAWATTA,HAAPANA,PILIMATHALAWA,,Eastern,454D WEERASEKARA,HHH8/B,HHHDAGALAWATTA,SIVAPURAM,PILIMATHALAWA,4454454444,Sinhala,180411,94,CHEFT,HOTEL HILTON,2011086,524,BCE TWP WGVK,A,P,N,H45
BABY,F,,IJRUPASINGHA,3008182852,,50022,5565,S,Mr. IJRUPASINGHA,,IJI5565565,IJRUPASINGHA-346,55653468P56523,,779094702,65565565,726257022,III565@SCICOM.COM.MY,IIIS F RUPASINGHE,IJ562,IIIAMANDIYA,SEWANAGALA,PILIMATHALAWA,,Northern,565VIDARA RUPASINGHE,III2,IIIAMANDIYA,HAAPANA,PILIMATHALAWA,5565565555,Sinhala,50216,94,NOTARY PUBLIC,HOTEL HILTON,2010069,322,CDDWGVKA G C,A,P,N,I56
MR,M,,JKGOWSHIK S,3108182853,,50023,6676,S,Mrs. JKGOWSHIK S,,JKJ6676676,JKGOWSHIK S-346,66763468Q67623,,779094703,76676676,726257023,JJJ676@SCICOM.COM.MY,JJJS M SHIK,JK67RE T V,JJJON,SIRIPURA,PILIMATHALAWA,,Southern,676SHIK,JJJRE T V,JJJON,SEWANAGALA,PILIMATHALAWA,6676676666,Tamil,250516,94,SELF EMPLOYED,SELF,2010235,40,DEA G C HGIK,A,P,Y,J67
MS,F,,KLFREENA MEP,3208182854,,50024,7787,S,Mr. KLFREENA MEP,,KLK7787787,KLFREENA MEP-424,77874241V78714,,779094704,87787787,726257024,KKK787@SCICOM.COM.MY,KKKS F SAFREENA,KL7844076,KKKKKAMPITIYA,KADURUWELA,PILIMATHALAWA,,Western,787SAFREENA,KKK44076,KKKKKAMPITIYA,SEWANAGALA,PILIMATHALAWA,7787787777,Tamil,170512,94,LEADING SEAMAN,NO.874 SIRIWARDANA ROAD,1992051,502,EFNHGIKHAS I,A,P,N,K78
MISS,F,,LMALATH JANL,3308182855,,50025,8898,S,Mr. LMALATH JANL,,LML8898898,LMALATH JANL-405,88984057U89834,,779094705,98898898,726257025,LLL898@SCICOM.COM.MY,LLLS F JAYALATH,LM89NDALUWA,LLLADENIYA,SIRIPURA,PILIMATHALAWA,,Central,898N LAKSHANI JAYALATH,LLLNDALUWA,LLLADENIYA,KADURUWELA,PILIMATHALAWA,8898898888,Tamil,90215,94,LEADING SEAMAN,SRI LANKA NAVY,1995342,20,FGIAS IKANNA,A,P,Y,L89
MISS,F,,MNM FERNANDO,3408182856,,50026,9909,,Mr. MNM FERNANDO,,MNM9909909,MNM FERNANDO-405,99094057V90934,,779094706,9909909,726257026,MMM909@SCICOM.COM.MY,MMM  FERNANDO,MN90,MMMILE POST,RAJAMAWATHA,BUTTALA,,Eastern,909FERNANDO,909FERNANDO,MMMILE POST,KADURUWELA,BUTTALA,9909909989,Tamil,110407,0,ASSISTANT MANAGER,SRI LANKA NAVY,2001344,560,GHSANNAHE MC,A,P,N,M90
MISS,F,,NODIVYANI K,3508182857,,50027,1121,S,Mr. NODIVYANI K,,NON1121121,NODIVYANI K-220,1.12E+13,,779094707,21121121,726257027,NNN121@SCICOM.COM.MY,NNNS F IVYANI,NO120,NNNANAYAGAM ROAD,PERIYAURANY,BATTICALOA,,Northern,121IVYANI,NNN0,NNNANAYAGAM ROAD,RAJAMAWATHA,BATTICALOA,1121121111,English,91109,0,POLICE CONSTABLE,BANK OF CEYLON,2000281,12,HI E MC NLAP,A,P,Y,N12
MS,F,,ABSANDYA KKA,3608182858,,50028,2232,S,Mr. ABSANDYA KKA,,ABA2232232,ABSANDYA KKA-007,2.23E+13,,779094708,32232232,726257028,AAA232@SCICOM.COM.MY,AAAS F SANDYA,AB237,AAAWAGAHAKORATUWA,THENIPITA,DENIYAYA,,Southern,232SANDYA,AAA7,AAAWAGAHAKORATUWA,PERIYAURANY,DENIYAYA,2232232222,English,191118,94,SENIOR AREA MANAGER-GAMPAHA.,SRI LANKA POLICE,2001103,528,IJANLAPAN AS,A,P,N,A23
MR,M,,BCAMALDEEN S,3708182859,,50029,3343,M,Mrs. BCAMALDEEN S,,BCB3343343,BCAMALDEEN S-343,33433436V34373,,779094709,43343343,726257029,BBB343@SCICOM.COM.MY,BBBM M ALDEEN,BC34ALLI ROAD,BBBUR-3,SIRIPURA,DENIYAYA,,Western,343ALDEEN,BBBALLI ROAD,BBBUR-3,THENIPITA,DENIYAYA,3343343333,English,190505,94,SENIOR AREA MANAGER-GAMPAHA.,BOC,1952077,630,JKSN ASMYGSH,A,P,N,B34
BABY,F,,CDINGHE WATT,3808182860,,50030,4454,S,Mr. CDINGHE WATT,,CDC4454454,CDINGHE WATT-405,44544057V45434,,779094710,54454454,726257030,CCC454@SCICOM.COM.MY,CCCS F GUNASINGHE,CD45LPITIYA,CCCRAGODA,MADURAGODA,DENIYAYA,,Central,454T T GUNASINGHE,CCCLPITIYA,CCCRAGODA,THENIPITA,DENIYAYA,4454454444,English,231116,94,SENIOR ASSISTANT DIRECTOR,BOC,2007180,532,ABAAR TA TWP,A,P,N,C45
     MR,M,,DEZZAMIL SMA,3908182861,,50031,5565,M,Mrs. DEZZAMIL SMA,,DED5565565,DEZZAMIL SMA-242,55652423V56522,,779094711,65565565,726257031,DDD565@SCICOM.COM.MY,DDDM M MUZAMMIL,DE569,DDDULLA ROAD,KALAHAKELE,GALEWELA,,Eastern,565MUZAMMIL,DDD9,DDDULLA ROAD,MADURAGODA,GALEWELA,5565565555,English,250101,94,VOCATIONA TRAINING INSTRCTOR,CENTRAL BANK,1970121,627,BCE TWP WGVK,A,P,N,D56
MRS,F,,EFGHANAWATHI,4008182862,,50032,6676,M,Mr. EFGHANAWATHI,,EFE6676676,EFGHANAWATHI-198,66761985V67621,,779094712,76676676,726257032,EEE676@SCICOM.COM.MY,EEEM F GNANAWATHI,EF67THE PUBLIC  GROUND,EEESENPURA,MEDIRIGIRIYA,GALEWELA,,Northern,676GNANAWATHI,EEETHE PUBLIC  GROUND,EEESENPURA,KALAHAKELE,GALEWELA,6676676666,English,160911,94,VOCATIONA TRAINING INSTRCTOR,THIHARIYA ISLAMIC DISABLE INSTITUTE.,1965101,641,CDDWGVKA G C,A,P,N,E67
M/S,F,,FGNION ASSURANCE PLC,4108182863,,50033,7787,,Mr. FGNION ASSURANCE PLC,,FGF7787787,FGNION ASSURANCE PLC-S11,7787S1137787S1,,779094713,87787787,726257033,FFF787@SCICOM.COM.MY,FFF  CENTRE,FG78ICHEL'S ROAD,FFFMBO-04.,ST.MICHEL'S ROAD  ,COLOMBOO 03 ,,Southern,787SURANCE CENTRE,FFFICHEL'S ROAD,FFFMBO-04.,MEDIRIGIRIYA,COLOMBOO 03 ,7787787777,English,180303,94,VOCATIONA TRAINING INSTRCTOR,THIHARIYA ISLAMIC DISABLE INSTITUTE.,0,660,DEA G C HGIK,A,N,Y,F78
M/S,F,,GHEYLON QUARTZ INDUSTRIES (PVT) LID,4208182864,,50034,8898,,Mr. GHEYLON QUARTZ INDUSTRIES (PVT) LID,,GHG8898898,GHEYLON QUARTZ INDUSTRIES (PVT) LID-182,889818243898S1,,779094714,98898898,726257034,GGG898@SCICOM.COM.MY,GGG,GH89KE PLACE,GGGJAYAWARDANAPURA MAWATHA,COLOMBO 02        ,COLOMBOO 03 ,,Western,898,GGGKE PLACE,GGGJAYAWARDANAPURA MAWATHA,ST.MICHEL'S ROAD  ,COLOMBOO 03 ,8898898888,Sinhala,180303,94,VOCATIONA TRAINING INSTRCTOR,THIHARIYA ISLAMIC DISABLE INSTITUTE.,0,660,EFNHGIKHAS I,A,N,N,G89
MASTER,M,,HIAKOON TMSM,4308182865,,50035,9909,S,Mrs. HIAKOON TMSM,,HIH9909909,HIAKOON TMSM-182,990918244909S1,,779094715,9909909,726257035,HHH909@SCICOM.COM.MY,HHHS M THENNAKOON,HI90/1A,HHHWANAHENA,WENDALA,RUWANWELLA,,Central,909S M THENNAKOON,HHH/1A,HHHWANAHENA,COLOMBO 02        ,RUWANWELLA,9909909989,Sinhala,210116,94,MANAGER,THIHARIYA ISLAMIC DISABLE INSTITUTE.,2015309,634,FGIAS IKANNA,A,P,Y,H90
MR,M,,IJEYAKUMAR T,4408182866,,50036,1121,S,Mrs. IJEYAKUMAR T,,IJI1121121,IJEYAKUMAR T-124,11211244V12181,,779094716,21121121,726257036,III121@SCICOM.COM.MY,IIIS M YAKUMAR,IJ1255/2 T 18,IIIAND PLACE,COLOMBO 7,COLOMBO 7,,Eastern,121YAKUMAR,III55/2 T 18,IIIAND PLACE,WENDALA,RUWANWELLA,1121121111,Sinhala,221007,0,PHOTOGRAPHER,GATEWAY SRP,1991058,453,GHSANNAHE MC,A,P,N,I12
MR,M,,JKDAPALA TWP,4508182867,,50037,2232,S,Mrs. JKDAPALA TWP,,JKJ2232232,JKDAPALA TWP-050,22320500V23290,,779094717,32232232,726257037,JJJ232@SCICOM.COM.MY,JJJS M MAHINDAPALA,JK236/C BALANGODA ROAD,JJJAYAKA,SIRIPURA,COLOMBO 7,,Northern,232MAHINDAPALA,JJJ6/C BALANGODA ROAD,JJJAYAKA,COLOMBO 7,RUWANWELLA,2232232222,Sinhala,280110,94,BUSINESS (READY MADE GARMENT),SELF,1988169,683,HI E MC NLAP,A,P,Y,J23
MR,M,,KLAYAKA WGVK,4608182868,,50038,3343,M,Mrs. KLAYAKA WGVK,,KLK3343343,KLAYAKA WGVK-141,33431416V34381,,779094718,43343343,726257038,KKK343@SCICOM.COM.MY,KKKM M RATHNAYAKA,KL342,KKKLAWA,GALENBINDUNUWEWA,COLOMBO 7,,Southern,343KUMARA RATHNAYAKA,KKK2,KKKLAWA,COLOMBO 7,RUWANWELLA,3343343333,Sinhala,100912,94,BUSINESS,SELF,1985347,122,IJANLAPAN AS,A,P,N,K34
MISS,F,,LMNTHI A G C,4708182869,,50039,4454,S,Mr. LMNTHI A G C,,LML4454454,LMNTHI A G C-293,44542935V45472,,779094719,54454454,726257039,LLL454@SCICOM.COM.MY,LLLS F MALKANTHI,LM45ANDA,LLLLABEDDA,HAPUTHALE,COLOMBO 7,,Western,454C MALKANTHI,LLLANDA,LLLLABEDDA,GALENBINDUNUWEWA,RUWANWELLA,4454454444,Sinhala,170114,94,BUSINESS (CYCLE SPARE PARTS),TANI GEM'S & JEWEL'S ACADEMY,1992107,515,JKSN ASMYGSH,A,P,N,L45
MS,F,,MNINGHE HGIK,4808182870,,50040,5565,,Mr. MNINGHE HGIK,,MNM5565565,MNINGHE HGIK-156,55651564V56581,,779094720,65565565,726257040,MMM565@SCICOM.COM.MY,MMM  SAMARASINGHE,MN56GODA JUNCTION,MMMARAWA,GALPORUGOLLA,COLOMBO 7,,Central,565I K SAMARASINGHE,MMMGODA JUNCTION,MMMARAWA,HAPUTHALE,RUWANWELLA,5565565555,Sinhala,290807,0,ATTONEY-AT-LAW,SELF,1982177,92,ABAAR TA TWP,A,P,N,M56
MR,M,,NOSIVATHAS I,4908182871,,50041,6676,M,Mrs. NOSIVATHAS I,,NON6676676,NOSIVATHAS I-356,66763568V67613,,779094721,76676676,726257041,NNN676@SCICOM.COM.MY,NNNM M SIVATHAS,NO67HAVASAM,NNN OFFICE ROAD,CHAVAKACHCHERI,COLOMBO 7,,Eastern,676URAI SIVATHAS,NNNHAVASAM,NNN OFFICE ROAD,GALPORUGOLLA,RUWANWELLA,6676676666,Sinhala,270111,94,CONSULTANT,M.C,1950160,23,BCE TWP WGVK,A,P,N,N67
MS,F,,AB WELIKANNA,5008182872,,50042,7787,S,Mr. AB WELIKANNA,,ABA7787787,AB WELIKANNA-085,77870850V78720,,779094722,87787787,726257042,AAA787@SCICOM.COM.MY,AAAS F WELIKANNA,AB78,AAARIYA ROAD,ARUKWATHTHA,PADUKKA,,Northern,787A D WELIKANNA,787A D WELIKANNA,AAARIYA ROAD,CHAVAKACHCHERI,PADUKKA,7787787777,Sinhala,201212,94,FRUIT SELLING,AKIO-KOBAYASHI INT.AUTO ASSEMBLE(PVT)LTD,1977052,678,CDDWGVKA G C,A,P,N,A78
MS,F,,BCASINGHE MC,5108182873,,50043,8898,M,Mr. BCASINGHE MC,,BCB8898898,BCASINGHE MC-001,8.90E+13,,779094723,98898898,726257043,BBB898@SCICOM.COM.MY,BBBM F UBASINGHE,BC894,BBBRA ROAD,AKURESSA,PADUKKA,,Southern,898UBASINGHE,BBB4,BBBRA ROAD,ARUKWATHTHA,PADUKKA,8898898888,Sinhala,190918,94,FRUIT SELLING,SELF,1970271,613,DEA G C HGIK,A,P,Y,B89
     MR,M,,CDSANJU NLAP,5208182874,,50044,9909,S,Mrs. CDSANJU NLAP,,CDC9909909,CDSANJU NLAP-294,99092943V90992,,779094724,9909909,726257044,CCC909@SCICOM.COM.MY,CCCS M SANJU,CD90,CCCELA,NELUWA.,PADUKKA,,Western,909P SANJU,909P SANJU,CCCELA,AKURESSA,PADUKKA,9909909989,Sinhala,40806,94,BUSINESS,SELF,1997328,667,EFNHGIKHAS I,A,P,N,C90
MR,M,,DERUKSHAN AS,,,50045,1121,N,Mrs. DERUKSHAN AS,,DED1121121,DERUKSHAN AS-,1121,,779094725,21121121,726257045,DDD121@SCICOM.COM.MY,DDDN M NIRUKSHAN,DE128/51 SAMAGI MAWATHA,DDDARA,POLGASOWITA,PADUKKA,,Central,121S NIRUKSHAN,DDD8/51 SAMAGI MAWATHA,DDDARA,NELUWA.,PADUKKA,1121121111,Sinhala,190310,0,BUSINESS,SELF,2004012,37,FGIAS IKANNA,A,P,Y,D12
MR,M,,EFETH HMYGSH,,,50046,2232,S,Mrs. EFETH HMYGSH,,EFE2232232,EFETH HMYGSH-,2232,,779094726,32232232,726257046,EEE232@SCICOM.COM.MY,EEES M JAYANETH,EF23ARA GEDARA,EEEAWELA,MAHAWELA,PADUKKA,,Eastern,232G S H JAYANETH,EEEARA GEDARA,EEEAWELA,POLGASOWITA,PADUKKA,2232232222,Sinhala,170216,0,JUKY MACHINE OPERATER,SELF,2010179,640,GHSANNAHE MC,A,P,N,E23
MR,M,,FGNAJEEFER K,3103V63103631033103V,3103V3103V31,50047,3343,M,Mrs. FGNAJEEFER K,,FGF3343343,FGNAJEEFER K-310,33433103V63103,,779094727,43343343,726257047,FFF343@SCICOM.COM.MY,FFFM M EEFER,FG3435,FFFMBEKANI 01,CHAWALAKADAI,PADUKKA,,Northern,343EEFER,FFF35,FFFMBEKANI 01,MAHAWELA,PADUKKA,3343343333,Sinhala,180816,94,HEALTH MANAGEMENT ASSISTANT,PARADISE GARMENT,1991185,510,HI E MC NLAP,A,P,Y,F34
MR,M,,GHSEMIN MS,3690V93690936903690V,3690V3690V36,50048,4454,M,Mrs. GHSEMIN MS,,GHG4454454,GHSEMIN MS-369,44543690V93690,,779094728,54454454,726257048,GGG454@SCICOM.COM.MY,GGGM M EMIN,GH45ROAD,GGGMAVADY-02,ODDAMAVADY,PADUKKA,,Southern,454EMIN,GGGROAD,GGGMAVADY-02,CHAWALAKADAI,PADUKKA,4454454444,Sinhala,150420,94,DEPAHAN TYRE HOUSE,DIRECTOR- HEALTH SERVICES,1970358,626,IJANLAPAN AS,A,P,N,G45
