Account Number,Product Name,Account Limit,Account Status,Branch name,Digital Products,Relationship,CIF
4454676508,Credit Card - Gold Visa,1035401,Active,Addalachchenai,B- App,Individual,1155512115
4454676509,Credit Card - Gold Visa,1035501,Active,Alankerny,B- App,Individual,7346523273
4454676510,Credit Card - Gold Visa,1035601,Active,Wilgamuwa,B- App,Individual,4221534342
4454676511,Credit Card - Gold Visa,1035701,Active,Addalachchenai,C- App,Individual,4639845463
4454676512,Credit Card - Gold Visa,1035801,Active,Alankerny,B- App,Individual,7229456572
4454676513,Credit Card - Gold Visa,1035901,Active,Araiyampathy,B- App,Individual,8491767684
4454676514,Credit Card - Gold Visa,1036001,Active,Batticaloa Town,D- Dep,Joint,8609078786
4454676515,Debit Card - Gold Visa,1036101,Non Active,Independent Square,B- App,Joint,2027789820
4454676516,Debit Card - Gold Visa,1036201,Non Active,Upcott,B- App,Joint,4178890941
4454676517,Credit Card - Gold Visa,1036301,Active,Wilgamuwa,I- Hus,Individual,1547312154
4454676518,Credit Card - Gold Visa,1036401,Active,Addalachchenai,B- App,Individual,2509623250
4454676519,Credit Card - Gold Visa,1036501,Active,Alankerny,B- App,Individual,4227034342
4454676520,Credit Card - Gold Visa,1036601,Active,Alankerny,B- App,Individual,7039145470
4454676521,Credit Card - Gold Visa,1036701,Active,Araiyampathy,B- App,Individual,5483756554
4454676522,Credit Card - Gold Visa,1036801,Active,Batticaloa Town,B- App,Joint,5245367652
4454676523,Debit Card - Gold Visa,1036901,Non Active,Independent Square,B- App,Joint,7751378775
4454676524,Debit Card - Gold Visa,1037001,Non Active,Upcott,B- App,Joint,8254889882
4454676525,Credit Card - Gold Visa,1037101,Active,Wilgamuwa,B- App,Individual,948090948
4454676526,Credit Card - Gold Visa,1037201,Active,Addalachchenai,B- App,Individual,1758712175
4454676527,Credit Card - Gold Visa,1037301,Active,Alankerny,B- App,Individual,2384423238
4454676528,Credit Card - Gold Visa,1037401,Active,Wilgamuwa,B- App,Individual,3852934385
