puka1,puka2,full_name,preferred_name,new_nic,old_nic,cif,t_pin,marital_status,spouse_name,passport,driving_license,business_name,business_reg_number,business_registered_date,mobile_number,staff_pf,alternative_number,email,address1,address2,address3,town,district,postal_code,province,alternate_address1,alternate_address2,alternate_address3,alternate_town,alternate_district,alternate_postal_code,preferred_language,customer_since,citizenship,profession,employer,dob,branch,relationship_manager,customer_status,customer_type,vip_flag,group_code
MR,M,KKKRUKSHAN AS,KLRUKSHAN AS,1808182840,2943V2943V29,50010,2232,N,Mrs. KLRUKSHAN AS,KL23222322,KLK2232232,KLRUKSHAN AS-294,22322943V23292,6/20/2010,779094690,32232232,726257010,KKK232@SCICOM.COM.MY,KKKN M NIRUKSHAN,KL238/51 SAMAGI MAWATHA,KKKARA,POLGASOWITA,PADUKKA,2232232223,Central,232S NIRUKSHAN,KKK8/51 SAMAGI MAWATHA,KKKARA,NELUWA.,PADUKKA,2232232222,Sinhala,190310,0,BUSINESS,SELF,2004012,37,ABAAR TA TWP,A,P,N,K23
MR,M,LLLETH HMYGSH,LMETH HMYGSH,1908182841,2943W2943W29,50011,3343,S,Mrs. LMETH HMYGSH,LM34333433,LML3343343,LMETH HMYGSH-294,33432943W34392,7/7/2010,779094691,43343343,726257011,LLL343@SCICOM.COM.MY,LLLS M JAYANETH,LM34ARA GEDARA,LLLAWELA,MAHAWELA,PADUKKA,3343343334,Eastern,343G S H JAYANETH,LLLARA GEDARA,LLLAWELA,POLGASOWITA,PADUKKA,3343343333,Sinhala,170216,0,JUKY MACHINE OPERATER,SELF,2010179,640,BCE TWP WGVK,A,P,N,L34
MR,M,MMMNAJEEFER K,MNNAJEEFER K,2008182842,3103V3103V31,50012,4454,M,Mrs. MNNAJEEFER K,MN45444544,MNM4454454,MNNAJEEFER K-310,44543103V45463,7/24/2010,779094692,54454454,726257012,MMM454@SCICOM.COM.MY,MMMM M EEFER,MN4535,MMMMBEKANI 01,CHAWALAKADAI,PADUKKA,4454454445,Northern,454EEFER,MMM35,MMMMBEKANI 01,MAHAWELA,PADUKKA,4454454444,Sinhala,180816,94,HEALTH MANAGEMENT ASSISTANT,PARADISE GARMENT,1991185,510,CDDWGVKA G C,A,P,N,M45
MR,M,NNNSEMIN MS,NOSEMIN MS,2108182843,3690V3690V36,50013,5565,M,Mrs. NOSEMIN MS,NO56555655,NON5565565,NOSEMIN MS-369,55653690V56593,8/10/2010,779094693,65565565,726257013,NNN565@SCICOM.COM.MY,NNNM M EMIN,NO56ROAD,NNNMAVADY-02,ODDAMAVADY,PADUKKA,5565565556,Southern,565EMIN,NNNROAD,NNNMAVADY-02,CHAWALAKADAI,PADUKKA,5565565555,Sinhala,150420,94,DEPAHAN TYRE HOUSE,DIRECTOR- HEALTH SERVICES,1970358,626,DEA G C HGIK,A,P,Y,N56
MR,M,AAARIYA KKDLS,ABRIYA KKDLS,2208182844,4578V4578V45,50014,6676,M,Mrs. ABRIYA KKDLS,AB67666766,ABA6676676,ABRIYA KKDLS-457,66764578V67634,8/27/2010,779094694,76676676,726257014,AAA676@SCICOM.COM.MY,AAAM M WEERASOORIYA,AB6743923,AAA4,GIRITALE,PADUKKA,6676676667,Western,676L S WEERASOORIYA,AAA43923,AAA4,ODDAMAVADY,PADUKKA,6676676666,Sinhala,191118,94,DIRECTOR.,SELF,1977102,601,EFNHGIKHAS I,A,P,N,A67
MR,M,BBBERATH KHJT,BCERATH KHJT,2308182845,3379V3379V33,50015,7787,S,Mrs. BCERATH KHJT,BC78777877,BCB7787787,BCERATH KHJT-337,77873379V78773,9/13/2010,779094695,87787787,726257015,BBB787@SCICOM.COM.MY,BBBS M HERATH,BC78 RAJA MAWATHA,BBBELIGAMA,SEWANAGALA,PADUKKA,7787787778,Central,787T HERATH,BBB RAJA MAWATHA,BBBELIGAMA,GIRITALE,PADUKKA,7787787777,Sinhala,170120,94,TEACHER,LEARN IT COMPUTER COMPANY (PVT)LTD,1999126,823,FGIAS IKANNA,A,P,Y,B78
MR,M,CCCMANJU WGN,CDMANJU WGN,2408182846,3890V3890V38,50016,8898,M,Mrs. CDMANJU WGN,CD89888988,CDC8898898,CDMANJU WGN-389,88983890V89853,9/30/2010,779094696,98898898,726257016,CCC898@SCICOM.COM.MY,CCCM M KUMARA,CD89,CCCMALKANDURA,SIRIPURA,PADUKKA,8898898889,Eastern,898M KUMARA,898M KUMARA,CCCMALKANDURA,SEWANAGALA,PADUKKA,8898898888,Sinhala,150703,94,TEACHER,OVERSEAS INTERNATIONAL SCHOOL,1980105,2,GHSANNAHE MC,A,P,N,C89
     MS,F,DDDSIFAYA MFF,DESIFAYA MFF,2508182847,3468V3468V34,50017,9909,M,Mr. DESIFAYA MFF,DE90999099,DED9909909,DESIFAYA MFF-346,99093468V90923,10/17/2010,779094697,9909909,726257017,DDD909@SCICOM.COM.MY,DDDM F SIFAYA,DE908 VIVEKANANADA HILL,DDDMBO 13,SIRIPURA,PADUKKA,9909909990,Northern,909SIFAYA,DDD8 VIVEKANANADA HILL,DDDMBO 13,SIRIPURA,PADUKKA,9909909989,Sinhala,10150,0,CASHIER,OVERSEAS INTERNATIONAL SCHOOL,1975022,573,HI E MC NLAP,A,P,Y,D90
MS,F,EEEOHAMMED HN,EFOHAMMED HN,2608182848,2.35E+11,50018,1121,,Mr. EFOHAMMED HN,EF12111211,EFE1121121,EFOHAMMED HN-234,1.12E+13,11/3/2010,779094698,21121121,726257018,EEE121@SCICOM.COM.MY,EEE  OHAMMED,EF12EELAWALA RD,EEEENIYA,SIRIPURA,PADUKKA,1121121112,Southern,121OHAMMED,EEEEELAWALA RD,EEEENIYA,SIRIPURA,PADUKKA,1121121111,Sinhala,131006,0,ABLE SEAMAN,GRAND ORIENT HOTEL,1997321,2,IJANLAPAN AS,A,P,N,E12
MS,F,FFFSABEEB MI,FGSABEEB MI,2708182849,3468W3468W34,50019,2232,,Mr. FGSABEEB MI,FG23222322,FGF2232232,FGSABEEB MI-346,22323468W23223,11/20/2010,779094699,32232232,726257019,FFF232@SCICOM.COM.MY,FFF  ABEEB,FG23MANIKKAMPATTIYA,FFFRUWELA,SIRIPURA,PADUKKA,2232232223,Western,232ABEEB,FFFMANIKKAMPATTIYA,FFFRUWELA,MARASSANA,PADUKKA,2232232222,Sinhala,310707,0,CHEFT,SRI LANKA NAVY,2005181,502,JKSN ASMYGSH,A,P,N,F23
MR,M,GGGT NILAVAN,GH T NILAVAN,2808182850, 1999 1999 1,50020,3343,S,Mrs. GH T NILAVAN,GH34333433,GHG3343343,GH T NILAVAN- 19,3343 19993435 ,12/7/2010,779094700,43343343,726257020,GGG343@SCICOM.COM.MY,GGGS M ILAVAN,GH3443984,GGGNCHI,SIVAPURAM,POONAKARY,3343343334,Central,343ILAVAN,GGG43984,GGGNCHI,MARASSANA,POONAKARY,3343343333,Sinhala,41109,0,CHEFT,HOTEL HILTON,1999278,44,ABAAR TA TWP,A,P,N,G34
MASTER,M,HHHEKARA WMCD,HIEKARA WMCD,2908182851,3468U3468U34,50021,4454,S,Mrs. HIEKARA WMCD,HI45444544,HIH4454454,HIEKARA WMCD-346,44543468U45423,12/24/2010,779094701,54454454,726257021,HHH454@SCICOM.COM.MY,HHHS M WEERASEKARA,HI458/B,HHHDAGALAWATTA,HAAPANA,PILIMATHALAWA,4454454445,Eastern,454D WEERASEKARA,HHH8/B,HHHDAGALAWATTA,SIVAPURAM,PILIMATHALAWA,4454454444,Sinhala,180411,94,CHEFT,HOTEL HILTON,2011086,524,BCE TWP WGVK,A,P,N,H45
BABY,F,IIIRUPASINGHA,IJRUPASINGHA,3008182852,3468P3468P34,50022,5565,S,Mr. IJRUPASINGHA,IJ56555655,IJI5565565,IJRUPASINGHA-346,55653468P56523,1/10/2011,779094702,65565565,726257022,III565@SCICOM.COM.MY,IIIS F RUPASINGHE,IJ562,IIIAMANDIYA,SEWANAGALA,PILIMATHALAWA,5565565556,Northern,565VIDARA RUPASINGHE,III2,IIIAMANDIYA,HAAPANA,PILIMATHALAWA,5565565555,Sinhala,50216,94,NOTARY PUBLIC,HOTEL HILTON,2010069,322,CDDWGVKA G C,A,P,N,I56
MR,M,JJJGOWSHIK S,JKGOWSHIK S,3108182853,3468Q3468Q34,50023,6676,S,Mrs. JKGOWSHIK S,JK67666766,JKJ6676676,JKGOWSHIK S-346,66763468Q67623,1/27/2011,779094703,76676676,726257023,JJJ676@SCICOM.COM.MY,JJJS M SHIK,JK67RE T V,JJJON,SIRIPURA,PILIMATHALAWA,6676676667,Southern,676SHIK,JJJRE T V,JJJON,SEWANAGALA,PILIMATHALAWA,6676676666,Tamil,250516,94,SELF EMPLOYED,SELF,2010235,40,DEA G C HGIK,A,P,Y,J67
MS,F,KKKFREENA MEP,KLFREENA MEP,3208182854,4241V4241V42,50024,7787,S,Mr. KLFREENA MEP,KL78777877,KLK7787787,KLFREENA MEP-424,77874241V78714,2/13/2011,779094704,87787787,726257024,KKK787@SCICOM.COM.MY,KKKS F SAFREENA,KL7844076,KKKKKAMPITIYA,KADURUWELA,PILIMATHALAWA,7787787778,Western,787SAFREENA,KKK44076,KKKKKAMPITIYA,SEWANAGALA,PILIMATHALAWA,7787787777,Tamil,170512,94,LEADING SEAMAN,NO.874 SIRIWARDANA ROAD,1992051,502,EFNHGIKHAS I,A,P,N,K78
MISS,F,LLLALATH JANL,LMALATH JANL,3308182855,4057U4057U40,50025,8898,S,Mr. LMALATH JANL,LM89888988,LML8898898,LMALATH JANL-405,88984057U89834,3/2/2011,779094705,98898898,726257025,LLL898@SCICOM.COM.MY,LLLS F JAYALATH,LM89NDALUWA,LLLADENIYA,SIRIPURA,PILIMATHALAWA,8898898889,Central,898N LAKSHANI JAYALATH,LLLNDALUWA,LLLADENIYA,KADURUWELA,PILIMATHALAWA,8898898888,Tamil,90215,94,LEADING SEAMAN,SRI LANKA NAVY,1995342,20,FGIAS IKANNA,A,P,Y,L89
MISS,F,MMMM FERNANDO,MNM FERNANDO,3408182856,4057V4057V40,50026,9909,,Mr. MNM FERNANDO,MN90999099,MNM9909909,MNM FERNANDO-405,99094057V90934,3/19/2011,779094706,9909909,726257026,MMM909@SCICOM.COM.MY,MMM  FERNANDO,MN90,MMMILE POST,RAJAMAWATHA,BUTTALA,9909909990,Eastern,909FERNANDO,909FERNANDO,MMMILE POST,KADURUWELA,BUTTALA,9909909989,Tamil,110407,0,ASSISTANT MANAGER,SRI LANKA NAVY,2001344,560,GHSANNAHE MC,A,P,N,M90
MISS,F,NNNDIVYANI K,NODIVYANI K,3508182857,2.20E+11,50027,1121,S,Mr. NODIVYANI K,NO12111211,NON1121121,NODIVYANI K-220,1.12E+13,4/5/2011,779094707,21121121,726257027,NNN121@SCICOM.COM.MY,NNNS F IVYANI,NO120,NNNANAYAGAM ROAD,PERIYAURANY,BATTICALOA,1121121112,Northern,121IVYANI,NNN0,NNNANAYAGAM ROAD,RAJAMAWATHA,BATTICALOA,1121121111,English,91109,0,POLICE CONSTABLE,BANK OF CEYLON,2000281,12,HI E MC NLAP,A,P,Y,N12
MS,F,AAASANDYA KKA,ABSANDYA KKA,3608182858,7840078400,50028,2232,S,Mr. ABSANDYA KKA,AB23222322,ABA2232232,ABSANDYA KKA-007,2.23E+13,4/22/2011,779094708,32232232,726257028,AAA232@SCICOM.COM.MY,AAAS F SANDYA,AB237,AAAWAGAHAKORATUWA,THENIPITA,DENIYAYA,2232232223,Southern,232SANDYA,AAA7,AAAWAGAHAKORATUWA,PERIYAURANY,DENIYAYA,2232232222,English,191118,94,SENIOR AREA MANAGER-GAMPAHA.,SRI LANKA POLICE,2001103,528,IJANLAPAN AS,A,P,N,A23
MR,M,BBBAMALDEEN S,BCAMALDEEN S,3708182859,3436V3436V34,50029,3343,M,Mrs. BCAMALDEEN S,BC34333433,BCB3343343,BCAMALDEEN S-343,33433436V34373,5/9/2011,779094709,43343343,726257029,BBB343@SCICOM.COM.MY,BBBM M ALDEEN,BC34ALLI ROAD,BBBUR-3,SIRIPURA,DENIYAYA,3343343334,Western,343ALDEEN,BBBALLI ROAD,BBBUR-3,THENIPITA,DENIYAYA,3343343333,English,190505,94,SENIOR AREA MANAGER-GAMPAHA.,BOC,1952077,630,JKSN ASMYGSH,A,P,N,B34
BABY,F,CCCINGHE WATT,CDINGHE WATT,3808182860,4057V4057V40,50030,4454,S,Mr. CDINGHE WATT,CD45444544,CDC4454454,CDINGHE WATT-405,44544057V45434,5/26/2011,779094710,54454454,726257030,CCC454@SCICOM.COM.MY,CCCS F GUNASINGHE,CD45LPITIYA,CCCRAGODA,MADURAGODA,DENIYAYA,4454454445,Central,454T T GUNASINGHE,CCCLPITIYA,CCCRAGODA,THENIPITA,DENIYAYA,4454454444,English,231116,94,SENIOR ASSISTANT DIRECTOR,BOC,2007180,532,ABAAR TA TWP,A,P,N,C45
     MR,M,DDDZZAMIL SMA,DEZZAMIL SMA,3908182861,2423V2423V24,50031,5565,M,Mrs. DEZZAMIL SMA,DE56555655,DED5565565,DEZZAMIL SMA-242,55652423V56522,6/12/2011,779094711,65565565,726257031,DDD565@SCICOM.COM.MY,DDDM M MUZAMMIL,DE569,DDDULLA ROAD,KALAHAKELE,GALEWELA,5565565556,Eastern,565MUZAMMIL,DDD9,DDDULLA ROAD,MADURAGODA,GALEWELA,5565565555,English,250101,94,VOCATIONA TRAINING INSTRCTOR,CENTRAL BANK,1970121,627,BCE TWP WGVK,A,P,N,D56
MRS,F,EEEGHANAWATHI,EFGHANAWATHI,4008182862,1985V1985V19,50032,6676,M,Mr. EFGHANAWATHI,EF67666766,EFE6676676,EFGHANAWATHI-198,66761985V67621,6/29/2011,779094712,76676676,726257032,EEE676@SCICOM.COM.MY,EEEM F GNANAWATHI,EF67THE PUBLIC  GROUND,EEESENPURA,MEDIRIGIRIYA,GALEWELA,6676676667,Northern,676GNANAWATHI,EEETHE PUBLIC  GROUND,EEESENPURA,KALAHAKELE,GALEWELA,6676676666,English,160911,94,VOCATIONA TRAINING INSTRCTOR,THIHARIYA ISLAMIC DISABLE INSTITUTE.,1965101,641,CDDWGVKA G C,A,P,N,E67
M/S,F,FFFNION ASSURANCE PLC,FGNION ASSURANCE PLC,4108182863,S1137S1137S1,50033,7787,,Mr. FGNION ASSURANCE PLC,FG78777877,FGF7787787,FGNION ASSURANCE PLC-S11,7787S1137787S1,7/16/2011,779094713,87787787,726257033,FFF787@SCICOM.COM.MY,FFF  CENTRE,FG78ICHEL'S ROAD,FFFMBO-04.,ST.MICHEL'S ROAD  ,COLOMBOO 03 ,7787787778,Southern,787SURANCE CENTRE,FFFICHEL'S ROAD,FFFMBO-04.,MEDIRIGIRIYA,COLOMBOO 03 ,7787787777,English,180303,94,VOCATIONA TRAINING INSTRCTOR,THIHARIYA ISLAMIC DISABLE INSTITUTE.,0,660,DEA G C HGIK,A,N,Y,F78
M/S,F,GGGEYLON QUARTZ INDUSTRIES (PVT) LID,GHEYLON QUARTZ INDUSTRIES (PVT) LID,4208182864,1.82E+11,50034,8898,,Mr. GHEYLON QUARTZ INDUSTRIES (PVT) LID,GH89888988,GHG8898898,GHEYLON QUARTZ INDUSTRIES (PVT) LID-182,889818243898S1,8/2/2011,779094714,98898898,726257034,GGG898@SCICOM.COM.MY,GGG,GH89KE PLACE,GGGJAYAWARDANAPURA MAWATHA,COLOMBO 02        ,COLOMBOO 03 ,8898898889,Western,898,GGGKE PLACE,GGGJAYAWARDANAPURA MAWATHA,ST.MICHEL'S ROAD  ,COLOMBOO 03 ,8898898888,Sinhala,180303,94,VOCATIONA TRAINING INSTRCTOR,THIHARIYA ISLAMIC DISABLE INSTITUTE.,0,660,EFNHGIKHAS I,A,N,N,G89
MASTER,M,HHHAKOON TMSM,HIAKOON TMSM,4308182865,1.82E+11,50035,9909,S,Mrs. HIAKOON TMSM,HI90999099,HIH9909909,HIAKOON TMSM-182,990918244909S1,8/19/2011,779094715,9909909,726257035,HHH909@SCICOM.COM.MY,HHHS M THENNAKOON,HI90/1A,HHHWANAHENA,WENDALA,RUWANWELLA,9909909990,Central,909S M THENNAKOON,HHH/1A,HHHWANAHENA,COLOMBO 02        ,RUWANWELLA,9909909989,Sinhala,210116,94,MANAGER,THIHARIYA ISLAMIC DISABLE INSTITUTE.,2015309,634,FGIAS IKANNA,A,P,Y,H90
MR,M,IIIEYAKUMAR T,IJEYAKUMAR T,4408182866,1244V1244V12,50036,1121,S,Mrs. IJEYAKUMAR T,IJ12111211,IJI1121121,IJEYAKUMAR T-124,11211244V12181,9/5/2011,779094716,21121121,726257036,III121@SCICOM.COM.MY,IIIS M YAKUMAR,IJ1255/2 T 18,IIIAND PLACE,COLOMBO 7,COLOMBO 7,1121121112,Eastern,121YAKUMAR,III55/2 T 18,IIIAND PLACE,WENDALA,RUWANWELLA,1121121111,Sinhala,221007,0,PHOTOGRAPHER,GATEWAY SRP,1991058,453,GHSANNAHE MC,A,P,N,I12
MR,M,JJJDAPALA TWP,JKDAPALA TWP,4508182867,0500V0500V05,50037,2232,S,Mrs. JKDAPALA TWP,JK23222322,JKJ2232232,JKDAPALA TWP-050,22320500V23290,9/22/2011,779094717,32232232,726257037,JJJ232@SCICOM.COM.MY,JJJS M MAHINDAPALA,JK236/C BALANGODA ROAD,JJJAYAKA,SIRIPURA,COLOMBO 7,2232232223,Northern,232MAHINDAPALA,JJJ6/C BALANGODA ROAD,JJJAYAKA,COLOMBO 7,RUWANWELLA,2232232222,Sinhala,280110,94,BUSINESS (READY MADE GARMENT),SELF,1988169,683,HI E MC NLAP,A,P,Y,J23
MR,M,KKKAYAKA WGVK,KLAYAKA WGVK,4608182868,1416V1416V14,50038,3343,M,Mrs. KLAYAKA WGVK,KL34333433,KLK3343343,KLAYAKA WGVK-141,33431416V34381,10/9/2011,779094718,43343343,726257038,KKK343@SCICOM.COM.MY,KKKM M RATHNAYAKA,KL342,KKKLAWA,GALENBINDUNUWEWA,COLOMBO 7,3343343334,Southern,343KUMARA RATHNAYAKA,KKK2,KKKLAWA,COLOMBO 7,RUWANWELLA,3343343333,Sinhala,100912,94,BUSINESS,SELF,1985347,122,IJANLAPAN AS,A,P,N,K34
MISS,F,LLLNTHI A G C,LMNTHI A G C,4708182869,2935V2935V29,50039,4454,S,Mr. LMNTHI A G C,LM45444544,LML4454454,LMNTHI A G C-293,44542935V45472,10/26/2011,779094719,54454454,726257039,LLL454@SCICOM.COM.MY,LLLS F MALKANTHI,LM45ANDA,LLLLABEDDA,HAPUTHALE,COLOMBO 7,4454454445,Western,454C MALKANTHI,LLLANDA,LLLLABEDDA,GALENBINDUNUWEWA,RUWANWELLA,4454454444,Sinhala,170114,94,BUSINESS (CYCLE SPARE PARTS),TANI GEM'S & JEWEL'S ACADEMY,1992107,515,JKSN ASMYGSH,A,P,N,L45
MS,F,MMMINGHE HGIK,MNINGHE HGIK,4808182870,1564V1564V15,50040,5565,,Mr. MNINGHE HGIK,MN56555655,MNM5565565,MNINGHE HGIK-156,55651564V56581,11/12/2011,779094720,65565565,726257040,MMM565@SCICOM.COM.MY,MMM  SAMARASINGHE,MN56GODA JUNCTION,MMMARAWA,GALPORUGOLLA,COLOMBO 7,5565565556,Central,565I K SAMARASINGHE,MMMGODA JUNCTION,MMMARAWA,HAPUTHALE,RUWANWELLA,5565565555,Sinhala,290807,0,ATTONEY-AT-LAW,SELF,1982177,92,ABAAR TA TWP,A,P,N,M56
MR,M,NNNSIVATHAS I,NOSIVATHAS I,4908182871,3568V3568V35,50041,6676,M,Mrs. NOSIVATHAS I,NO67666766,NON6676676,NOSIVATHAS I-356,66763568V67613,11/29/2011,779094721,76676676,726257041,NNN676@SCICOM.COM.MY,NNNM M SIVATHAS,NO67HAVASAM,NNN OFFICE ROAD,CHAVAKACHCHERI,COLOMBO 7,6676676667,Eastern,676URAI SIVATHAS,NNNHAVASAM,NNN OFFICE ROAD,GALPORUGOLLA,RUWANWELLA,6676676666,Sinhala,270111,94,CONSULTANT,M.C,1950160,23,BCE TWP WGVK,A,P,N,N67
MS,F,AAAWELIKANNA,AB WELIKANNA,5008182872,0850V0850V08,50042,7787,S,Mr. AB WELIKANNA,AB78777877,ABA7787787,AB WELIKANNA-085,77870850V78720,12/16/2011,779094722,87787787,726257042,AAA787@SCICOM.COM.MY,AAAS F WELIKANNA,AB78,AAARIYA ROAD,ARUKWATHTHA,PADUKKA,7787787778,Northern,787A D WELIKANNA,787A D WELIKANNA,AAARIYA ROAD,CHAVAKACHCHERI,PADUKKA,7787787777,Sinhala,201212,94,FRUIT SELLING,AKIO-KOBAYASHI INT.AUTO ASSEMBLE(PVT)LTD,1977052,678,CDDWGVKA G C,A,P,N,A78
MS,F,BBBASINGHE MC,BCASINGHE MC,5108182873,1400014000,50043,8898,M,Mr. BCASINGHE MC,BC89888988,BCB8898898,BCASINGHE MC-001,8.90E+13,1/2/2012,779094723,98898898,726257043,BBB898@SCICOM.COM.MY,BBBM F UBASINGHE,BC894,BBBRA ROAD,AKURESSA,PADUKKA,8898898889,Southern,898UBASINGHE,BBB4,BBBRA ROAD,ARUKWATHTHA,PADUKKA,8898898888,Sinhala,190918,94,FRUIT SELLING,SELF,1970271,613,DEA G C HGIK,A,P,Y,B89
